,Name,Type,THC_Level,Terpene,Relaxed,Happy,Euphoric,Uplifted
386,Lemon G,Sativa,19%,Myrcene,42%,46%,47%,49%
387,Colombian Gold,Sativa,17%,Myrcene,0%,54%,56%,45%
388,Cherry Kush,Hybrid,19%,Caryophyllene,48%,60%,39%,42%
389,Huckleberry,Hybrid,18%,Limonene,53%,54%,50%,39%
390,Royal Highness,Hybrid,8%,Myrcene,55%,67%,0%,47%
391,Orange Cream,Hybrid,18%,Caryophyllene,44%,33%,27%,27%
392,Sugar Black Rose,Indica,19%,Caryophyllene,75%,55%,44%,37%
393,Papaya Cake,Hybrid,21%,Limonene,35%,32%,28%,21%
394,Purple Candy,Indica,15%,Myrcene,77%,55%,46%,29%
395,Chocolate Kush,Indica,18%,Terpinolene,86%,52%,48%,42%
396,Lemon Drop,Hybrid,18%,Myrcene,41%,50%,39%,40%
397,Now and Later,Hybrid,21%,Myrcene,25%,0%,0%,0%
398,Melonade,Hybrid,19%,Limonene,40%,50%,30%,40%
399,Purple Hindu Kush,Indica,21%,Limonene,68%,39%,34%,0%
400,Cold Creek Kush,Hybrid,17%,Myrcene,56%,56%,50%,40%
401,3 Kings,Hybrid,19%,Caryophyllene,58%,58%,48%,48%
402,Meat Breath,Indica,16%,Caryophyllene,66%,50%,66%,16%
403,Yoda OG,Indica,17%,Myrcene,66%,36%,41%,0%
404,Peach Cobbler,Hybrid,17%,Terpinolene,73%,53%,53%,40%
405,Honey Bun,Hybrid,26%,Limonene,100%,100%,0%,0%
406,Rocket Fuel,Hybrid,24%,Limonene,41%,38%,43%,38%
407,Blue Magoo,Hybrid,18%,Myrcene,67%,54%,49%,43%
408,Scooby Snacks,Hybrid,22%,Myrcene,73%,51%,47%,37%
409,Gorilla Breath,Hybrid,22%,Myrcene,53%,53%,40%,40%
410,Strawberries & Cream,Hybrid,19%,Caryophyllene,71%,71%,57%,57%
411,Sticky Buns,Hybrid,20%,Myrcene,0%,0%,0%,0%
412,LA Cake,Hybrid,21%,Caryophyllene,71%,42%,78%,50%
413,Acai Berry Gelato,Sativa,14%,Terpinolene,62%,62%,50%,50%
414,Rainbow Chip,Hybrid,26%,Limonene,0%,36%,54%,54%
415,Wonka Bars,Hybrid,22%,Myrcene,0%,58%,52%,47%
416,Lemonhead OG,Hybrid,22%,Myrcene,60%,56%,49%,46%
417,Blue Widow,Hybrid,13%,Myrcene,52%,54%,49%,43%
418,Banana Cream OG,Hybrid,29%,Myrcene,71%,33%,38%,0%
419,Red Headed Stranger,Sativa,19%,Myrcene,0%,55%,44%,46%
420,Cherry AK-47,Hybrid,18%,Myrcene,45%,55%,53%,45%
421,Recon,Indica,19%,Myrcene,62%,47%,54%,28%
422,Green Goblin,Sativa,14%,Myrcene,0%,54%,45%,56%
423,Kali Mist,Sativa,19%,Myrcene,0%,54%,51%,56%
424,Sage and Sour,Sativa,18%,Myrcene,0%,53%,60%,62%
425,Flo,Hybrid,17%,Limonene,43%,55%,44%,54%
426,Cherry OG,Hybrid,19%,Myrcene,57%,60%,53%,43%
427,Pineapple OG,Sativa,17%,Myrcene,45%,51%,0%,41%
428,Cement Shoes,Indica,22%,Caryophyllene,50%,0%,50%,25%
429,Starfighter,Hybrid,18%,Myrcene,58%,61%,47%,35%
430,Alien Kush,Indica,20%,Myrcene,57%,47%,48%,39%
431,Hellfire OG,Hybrid,20%,Myrcene,53%,51%,62%,37%
432,Big Smooth,Hybrid,20%,Pinene,64%,64%,47%,36%
433,Sour Grape,Hybrid,18%,Myrcene,63%,64%,52%,53%
434,Pie Hoe,Hybrid,26%,Caryophyllene,38%,41%,36%,27%
435,Raspberry Kush,Indica,17%,Myrcene,56%,46%,49%,35%
436,Pennywise,Indica,8%,Myrcene,76%,48%,32%,35%
437,Face Mints,Hybrid,19%,Terpinolene,68%,37%,40%,0%
438,Double Dream,Hybrid,19%,Myrcene,56%,54%,50%,54%
439,Critical,Hybrid,15%,Pinene,66%,25%,33%,0%
440,Tropic Thunder,Hybrid,19%,Pinene,36%,48%,44%,36%
441,Apple Kush,Hybrid,20%,Myrcene,88%,56%,72%,0%
442,Hi-Octane,Hybrid,21%,Limonene,0%,0%,0%,0%
443,Glueberry,Hybrid,20%,Myrcene,0%,0%,33%,33%
444,Fruit Loops,Hybrid,18%,Myrcene,77%,61%,42%,49%
445,Banana Hammock R1,Indica,12%,Myrcene,77%,43%,33%,0%
446,Cookie Monster,Indica,17%,Myrcene,75%,57%,49%,33%
447,Diablo,Indica,20%,Myrcene,55%,44%,43%,30%
448,Afgoo,Indica,16%,Myrcene,51%,44%,45%,27%
449,3X Crazy,Indica,13%,Myrcene,76%,48%,47%,31%
450,Chocolate Diesel,Sativa,24%,Myrcene,0%,60%,62%,54%
451,Jelly Breath,Hybrid,16%,Limonene,57%,42%,35%,0%
452,Sunshine #4,Hybrid,22%,Limonene,63%,60%,57%,65%
453,Gorilla Grapes,Hybrid,17%,Myrcene,67%,62%,47%,43%
454,Citradelic Sunset,Hybrid,17%,Myrcene,27%,50%,50%,50%
455,Cinex,Sativa,16%,Limonene,0%,52%,0%,50%
456,Hell's OG,Hybrid,23%,Myrcene,72%,45%,46%,0%
457,Inzane In The Membrane,Sativa,19%,Myrcene,37%,43%,40%,51%
458,Phantom Cookies,Hybrid,19%,Caryophyllene,61%,63%,53%,52%
459,Purple Dream,Hybrid,17%,Myrcene,60%,56%,41%,36%
460,Extreme Cream,Indica,19%,Limonene,73%,53%,36%,0%
461,Blueberry Diesel,Hybrid,19%,Caryophyllene,51%,57%,53%,45%
462,Frosty,Indica,23%,Myrcene,61%,64%,52%,35%
463,Dutch Hawaiian,Sativa,19%,Myrcene,0%,59%,41%,56%
464,Ayahuasca Purple,Indica,17%,Myrcene,78%,52%,57%,29%
465,Hardcore OG,Indica,20%,Limonene,37%,25%,18%,0%
466,Cream Caramel,Indica,15%,Myrcene,84%,53%,33%,0%
467,LA Kush,Hybrid,20%,Myrcene,70%,61%,47%,44%
468,Banana Split,Hybrid,16%,Terpinolene,52%,62%,51%,43%
469,Snowball,Hybrid,23%,Limonene,72%,44%,61%,0%
470,Silver Bubble,Hybrid,16%,Myrcene,74%,74%,55%,60%
471,Gas Mask,Indica,16%,Limonene,70%,35%,50%,0%
472,Jesus OG,Indica,20%,Myrcene,44%,53%,49%,46%
473,Blueberry OG,Hybrid,15%,Myrcene,73%,63%,30%,38%
474,Golden Lemon,Hybrid,22%,Terpinolene,71%,55%,54%,40%
475,Pop Rox,Hybrid,15%,Terpinolene,25%,37%,50%,50%
476,The Black,Indica,16%,Myrcene,83%,35%,42%,0%
477,Pancakes,Hybrid,22%,Terpinolene,33%,33%,0%,33%
478,Strawberry Fields,Indica,18%,Myrcene,65%,47%,37%,29%
479,Chem Cookies,Hybrid,21%,Caryophyllene,84%,38%,38%,38%
480,Blueberry Haze,Hybrid,17%,Pinene,36%,54%,58%,44%
481,Phantom OG,Indica,18%,Caryophyllene,73%,60%,51%,38%
482,Snow White,Hybrid,17%,Myrcene,61%,61%,52%,39%
483,God's Green Crack,Hybrid,16%,Caryophyllene,55%,57%,56%,47%
484,Citrus Sap,Hybrid,19%,Myrcene,51%,56%,44%,47%
485,Chocolate Thai,Sativa,15%,Myrcene,45%,55%,42%,49%
486,King Kong,Hybrid,17%,Caryophyllene,68%,47%,41%,36%
487,Forum Cut Cookies,Hybrid,22%,Caryophyllene,0%,73%,69%,52%
488,Herijuana,Indica,20%,Myrcene,62%,39%,39%,0%
489,Triple OG,Hybrid,19%,Caryophyllene,75%,0%,0%,25%
490,707,Hybrid,16%,Myrcene,37%,46%,45%,42%
491,Purple Monkey Balls,Indica,17%,Pinene,70%,51%,45%,33%
492,Apples and Bananas,Hybrid,23%,Caryophyllene,37%,62%,50%,0%
493,Space Monkey,Hybrid,22%,Pinene,40%,40%,40%,40%
494,J1,Hybrid,17%,Terpinolene,0%,60%,52%,57%
495,Crazy Glue,Hybrid,21%,Caryophyllene,72%,45%,0%,0%
496,Superman OG,Indica,20%,Caryophyllene,63%,36%,42%,0%
497,Tangie Cookies,Sativa,18%,Caryophyllene,0%,63%,68%,63%
498,Sour Jack,Sativa,14%,Myrcene,0%,60%,43%,52%
499,Blissful Wizard,Hybrid,19%,Limonene,54%,64%,59%,54%
500,Divorce Cake,Hybrid,19%,Terpinolene,33%,16%,0%,33%
501,Raskal OG,Hybrid,21%,Limonene,49%,52%,41%,42%
502,Banjo,Hybrid,19%,Myrcene,34%,41%,58%,51%
503,Snoop's Dream,Hybrid,19%,Myrcene,71%,60%,54%,45%
504,Big Buddha Cheese,Hybrid,18%,Myrcene,51%,62%,53%,51%
505,Crunch Berries,Hybrid,22%,Terpinolene,50%,50%,0%,40%
506,Ocean Beach,Hybrid,23%,Caryophyllene,100%,0%,50%,0%
507,Dosi-Cake,Hybrid,22%,Myrcene,50%,0%,50%,25%
508,Chili Verde,Hybrid,21%,Terpinolene,40%,30%,50%,0%
509,Mazar I Sharif,Indica,13%,Linalool,59%,38%,40%,0%
510,Violator Kush,Indica,16%,Myrcene,65%,47%,41%,27%
511,Bruce Banner #3,Hybrid,19%,Caryophyllene,47%,59%,59%,49%
512,Memory Loss,Sativa,21%,Terpinolene,38%,50%,47%,50%
513,Lime OG,Hybrid,22%,Myrcene,14%,14%,0%,14%
514,Creme Brulee,Indica,22%,Myrcene,14%,14%,28%,0%
515,Scott's OG,Hybrid,20%,Myrcene,73%,56%,51%,33%
516,SinMint Cookies,Hybrid,21%,Myrcene,69%,59%,59%,36%
517,Pure Kush,Indica,17%,Myrcene,56%,49%,46%,0%
518,Red Congolese,Sativa,23%,Myrcene,0%,0%,55%,59%
519,Dragon's Breath,Hybrid,17%,Caryophyllene,50%,62%,54%,54%
520,Shark Shock,Indica,17%,Myrcene,69%,47%,36%,32%
521,DJ Short Blueberry,Indica,19%,Myrcene,67%,56%,52%,45%
522,Moonshine Haze,Sativa,18%,Terpinolene,38%,45%,41%,55%
523,Paradise Waits,Hybrid,16%,Myrcene,70%,78%,64%,52%
524,Chiesel,Hybrid,21%,Myrcene,47%,65%,56%,55%
525,Strawberry OG,Hybrid,20%,Caryophyllene,56%,67%,45%,34%
526,Gorilla OG,Indica,19%,Caryophyllene,0%,0%,0%,0%
527,Midnight,Hybrid,10%,Myrcene,58%,49%,37%,42%
528,Cookie Glue,Hybrid,19%,Myrcene,16%,0%,0%,0%
529,Grape God,Hybrid,15%,Myrcene,63%,51%,54%,35%
530,Bio-Diesel,Hybrid,19%,Caryophyllene,51%,51%,52%,46%
531,Royal Kush,Hybrid,17%,Myrcene,64%,52%,51%,0%
532,Cherry Chem,Hybrid,21%,Caryophyllene,28%,28%,0%,42%
533,Mother's Milk,Hybrid,22%,Caryophyllene,68%,53%,48%,46%
534,Black Triangle,Hybrid,26%,Myrcene,70%,54%,58%,45%
535,Pineapple Skunk,Hybrid,19%,Myrcene,65%,51%,48%,46%
536,Berry OG,Hybrid,16%,Myrcene,72%,49%,60%,27%
537,Orangeade,Hybrid,16%,Limonene,33%,0%,0%,0%
538,Dark Star,Indica,19%,Myrcene,75%,45%,43%,0%
539,Frosted Cherry Cookies,Hybrid,23%,Limonene,90%,72%,63%,54%
540,Kosher Dawg,Hybrid,18%,Myrcene,40%,50%,50%,30%
541,Lodi Dodi,Hybrid,19%,Terpinolene,40%,58%,41%,53%
542,OJ Kush,Hybrid,17%,Myrcene,51%,51%,45%,43%
543,Sweet Tea,Hybrid,23%,Myrcene,0%,0%,0%,0%
544,Mandarin Dreams,Hybrid,17%,Myrcene,62%,42%,38%,27%
545,Blue Frost,Hybrid,17%,Myrcene,74%,63%,59%,58%
546,MTF,Sativa,18%,Myrcene,45%,50%,62%,39%
547,Black Cherry Pie,Hybrid,16%,Myrcene,71%,85%,61%,52%
548,Passion Fruit,Sativa,19%,Limonene,0%,25%,0%,25%
549,Suver Haze,Hybrid,16%,Myrcene,80%,52%,28%,36%
550,Citral Glue,Hybrid,21%,Caryophyllene,52%,52%,52%,41%
551,Tuna Kush,Indica,18%,Myrcene,80%,50%,48%,0%
552,Jack Flash,Hybrid,17%,Terpinolene,40%,58%,45%,50%
553,Casey Jones,Sativa,15%,Limonene,0%,55%,50%,61%
554,Grape Kush,Hybrid,19%,Myrcene,56%,47%,51%,28%
555,Remedy,Indica,14%,Myrcene,65%,39%,0%,27%
556,Harle-Tsu,Hybrid,20%,Myrcene,63%,39%,19%,37%
557,Gucci OG,Hybrid,17%,Myrcene,67%,69%,63%,65%
558,Kashmir Kush,Indica,12%,Terpinolene,84%,44%,64%,44%
559,Tangerine,Hybrid,14%,Myrcene,49%,63%,42%,52%
560,Candy Jack,Sativa,19%,Terpinolene,0%,63%,50%,55%
561,Ultra Sour,Sativa,16%,Myrcene,35%,64%,38%,51%
562,Purple Afghani,Indica,18%,Limonene,50%,38%,27%,24%
563,Zombie OG,Indica,17%,Caryophyllene,71%,55%,43%,0%
564,Lemonberry,Hybrid,16%,Myrcene,50%,64%,38%,40%
565,Space Candy,Hybrid,18%,Caryophyllene,50%,62%,43%,44%
566,Glueball,Hybrid,14%,Myrcene,46%,38%,38%,15%
567,Gold Leaf,Hybrid,16%,Myrcene,50%,0%,0%,0%
568,Ice Cream Man,Indica,21%,Terpinolene,41%,52%,35%,35%
569,Sunshine Daydream,Indica,23%,Limonene,72%,51%,50%,32%
570,Zombie Kush,Indica,13%,Caryophyllene,80%,37%,47%,0%
571,Chemo,Indica,17%,Terpinolene,78%,39%,36%,0%
572,Mr. Clean,Sativa,20%,Terpinolene,100%,100%,0%,100%
573,Willie Nelson,Sativa,16%,Terpinolene,0%,57%,57%,67%
574,Peyote Critical,Indica,16%,Pinene,33%,0%,33%,0%
575,Napalm OG,Hybrid,18%,Limonene,0%,0%,0%,0%
576,Strawberry Guava,Hybrid,22%,Limonene,28%,28%,42%,28%
577,Lifter,Hybrid,16%,Caryophyllene,48%,48%,0%,59%
578,Zsweet Insanity,Hybrid,19%,Terpinolene,0%,57%,42%,57%
579,White Gorilla,Hybrid,19%,Caryophyllene,69%,53%,55%,39%
580,Jedi Kush,Indica,18%,Myrcene,74%,52%,52%,38%
581,Skunkberry,Hybrid,19%,Myrcene,69%,62%,54%,42%
582,Lemon Jack,Sativa,17%,Terpinolene,0%,55%,38%,52%
583,Rozé,Hybrid,19%,Myrcene,75%,25%,100%,100%
584,Pineapple Haze,Sativa,16%,Terpinolene,48%,62%,44%,51%
585,Northern Lights #5,Indica,18%,Myrcene,46%,49%,54%,42%
586,Han Solo Burger,Hybrid,27%,Terpinolene,66%,33%,44%,22%
587,Incredible Bulk,Indica,19%,Pinene,76%,60%,41%,0%
588,Grape Cake,Hybrid,24%,Terpinolene,41%,41%,25%,0%
589,Jack Haze,Hybrid,14%,Terpinolene,0%,55%,45%,62%
590,Chem de la Chem,Sativa,18%,Limonene,100%,50%,50%,50%
591,Tangerine Kush,Indica,18%,Myrcene,59%,49%,43%,39%
592,Willy's Wonder,Indica,18%,Myrcene,55%,50%,56%,37%
593,Black Lime,Indica,16%,Myrcene,70%,45%,58%,34%
594,Citrus Kush,Hybrid,21%,Myrcene,58%,60%,44%,33%
595,Pie Face,Hybrid,18%,Myrcene,50%,50%,50%,43%
596,Sweeties,Hybrid,22%,Limonene,47%,0%,63%,52%
597,Lucid Blue,Sativa,16%,Pinene,12%,12%,0%,12%
598,Jungle Juice,Hybrid,11%,Limonene,45%,45%,0%,27%
599,Orange Kush Cake,Hybrid,21%,Terpinolene,33%,44%,0%,0%
600,Cherry Gorilla,Hybrid,23%,Pinene,58%,58%,58%,41%
601,Sour Patch Kiss,Hybrid,17%,Caryophyllene,70%,58%,0%,83%
602,Critical Hog,Indica,15%,Myrcene,69%,53%,32%,28%
603,Kosher Tangie,Hybrid,21%,Myrcene,48%,54%,50%,43%
604,Nitro Cookies,Hybrid,18%,Caryophyllene,50%,0%,0%,0%
605,Exodus Cheese,Hybrid,15%,Pinene,59%,60%,54%,52%
606,Dirty Girl,Sativa,19%,Limonene,44%,55%,38%,43%
607,Candy Cane,Indica,12%,Myrcene,70%,38%,32%,0%
608,Night Terror,Indica,17%,Myrcene,79%,50%,40%,32%
609,Purple Passion,Indica,19%,Myrcene,49%,50%,45%,35%
610,Ether,Indica,17%,Terpinolene,22%,11%,0%,0%
611,Blue Haze,Hybrid,18%,Myrcene,52%,63%,47%,56%
612,Butter OG,Indica,19%,Myrcene,87%,50%,0%,0%
613,Grape Diamonds,Hybrid,14%,Terpinolene,50%,35%,35%,21%
614,Tangerine Haze,Hybrid,20%,Myrcene,37%,63%,50%,58%
615,Forbidden Zkittlez,Hybrid,13%,Terpinolene,63%,36%,27%,45%
616,Tropicana Punch,Hybrid,18%,Limonene,41%,35%,29%,29%
617,Game Changer,Hybrid,17%,Pinene,72%,56%,47%,57%
618,Stardawg Guava,Sativa,21%,Myrcene,47%,59%,50%,63%
619,Lime Skunk,Sativa,19%,Terpinolene,0%,27%,25%,30%
620,Grandpa’s Breath,Indica,19%,Myrcene,75%,37%,50%,41%
621,High School Sweetheart,Hybrid,21%,Caryophyllene,64%,70%,52%,52%
622,Dr. Who,Hybrid,20%,Myrcene,64%,51%,45%,43%
623,Blood Orange Kush,Indica,21%,Caryophyllene,36%,43%,33%,36%
624,Tres Dawg,Hybrid,24%,Caryophyllene,52%,36%,40%,36%
625,Purple Zkittlez,Indica,19%,Myrcene,66%,66%,0%,16%
626,Somango,Indica,19%,Pinene,72%,52%,0%,30%
627,Grape Cookies,Indica,18%,Caryophyllene,84%,36%,36%,42%
628,Critical Jack,Hybrid,16%,Terpinolene,50%,61%,0%,59%
629,Whitewalker OG,Indica,22%,Limonene,71%,47%,38%,34%
630,Willy Wonka,Sativa,20%,Terpinolene,52%,70%,52%,65%
631,Green Dream,Hybrid,18%,Pinene,0%,59%,52%,52%
632,Chocolate Hashberry,Hybrid,17%,Myrcene,66%,55%,42%,40%
633,Julius Caesar,Hybrid,16%,Myrcene,50%,54%,54%,50%
634,Purple Skunk,Hybrid,18%,Myrcene,47%,49%,40%,37%
635,Shiva Skunk,Indica,19%,Myrcene,59%,57%,49%,40%
636,Purple Dragon,Indica,11%,Limonene,64%,61%,60%,51%
637,Crown Royale,Indica,16%,Myrcene,75%,59%,43%,0%
638,Mars OG,Indica,17%,Limonene,44%,37%,33%,28%
639,Jamaican,Sativa,11%,Myrcene,65%,72%,51%,62%
640,Tina,Indica,19%,Caryophyllene,81%,54%,45%,0%
641,Pineapple Diesel,Hybrid,15%,Myrcene,0%,55%,51%,59%
642,Smarties,Hybrid,19%,Limonene,0%,0%,0%,0%
643,Biochem,Indica,23%,Terpinolene,60%,0%,36%,0%
644,Ringo's Gift,Hybrid,12%,Myrcene,66%,40%,0%,42%
645,Hawaiian Snow,Sativa,19%,Myrcene,0%,62%,48%,59%
646,Cheese Quake,Hybrid,18%,Myrcene,58%,59%,51%,47%
647,Nightmare Cookies,Hybrid,19%,Pinene,63%,63%,63%,42%
648,Sour Chem,Hybrid,21%,Caryophyllene,48%,63%,51%,58%
649,Lemongrass,Hybrid,17%,Terpinolene,0%,60%,40%,40%
650,Wonder Woman,Hybrid,15%,Myrcene,52%,58%,47%,47%
651,Neville's Haze,Sativa,17%,Myrcene,0%,53%,53%,45%
652,Purple Stardawg,Sativa,14%,Myrcene,0%,0%,0%,0%
653,White OG,Indica,18%,Caryophyllene,65%,52%,63%,36%
654,Gooberry,Indica,16%,Terpinolene,73%,60%,51%,0%
655,Marmalade,Hybrid,15%,Pinene,47%,47%,31%,42%
656,Critical Plus,Hybrid,19%,Myrcene,63%,55%,33%,42%
657,Dancehall,Hybrid,14%,Myrcene,50%,54%,0%,47%
658,Money Maker,Indica,16%,Terpinolene,94%,47%,47%,0%
659,Durban Kush,Hybrid,15%,Pinene,50%,66%,50%,0%
660,Banana Sherbet,Hybrid,17%,Limonene,33%,33%,0%,0%
661,Critical Haze,Hybrid,17%,Limonene,66%,70%,48%,45%
662,Orange Haze,Hybrid,20%,Pinene,41%,72%,49%,56%
663,Ace of Spades,Indica,16%,Myrcene,62%,50%,45%,33%
664,Chocolate Fondue,Sativa,20%,Caryophyllene,0%,71%,67%,65%
665,Super Jack,Sativa,18%,Terpinolene,0%,52%,0%,57%
666,Canna-Tsu,Hybrid,10%,Myrcene,60%,32%,23%,30%
667,Euphoria Cookies,Hybrid,22%,Myrcene,40%,0%,100%,50%
668,Hibiscus Sunrise,Hybrid,17%,Myrcene,50%,43%,50%,43%
669,Gorilla Blue,Hybrid,20%,Caryophyllene,42%,57%,0%,57%
670,Chem Sis,Sativa,20%,Myrcene,0%,62%,50%,37%
671,Hurricane,Sativa,19%,Limonene,39%,60%,41%,64%
672,Peanut Butter Soufflé,Hybrid,22%,Terpinolene,42%,35%,42%,35%
673,Maui,Sativa,17%,Myrcene,38%,50%,37%,46%
674,Hell's Bells,Indica,14%,Limonene,0%,0%,0%,0%
675,Killer Queen,Hybrid,18%,Myrcene,39%,48%,51%,47%
676,Tahoe Alien,Hybrid,18%,Myrcene,66%,60%,42%,44%
677,Future,Hybrid,21%,Caryophyllene,72%,50%,64%,47%
678,Wifi 43,Indica,20%,Limonene,82%,52%,47%,0%
679,Purple Thai,Sativa,17%,Myrcene,41%,52%,41%,50%
680,Blue Diamond,Indica,19%,Myrcene,67%,53%,48%,39%
681,Blueberry Yum Yum,Hybrid,18%,Myrcene,63%,73%,57%,60%
682,Lemon Pie,Sativa,23%,Terpinolene,0%,54%,41%,58%
683,GG1,Hybrid,19%,Caryophyllene,67%,52%,45%,36%
684,Lee Roy,Indica,20%,Myrcene,80%,48%,51%,41%
685,Kryptonite,Indica,16%,Myrcene,65%,51%,41%,33%
686,Cherry Wine,Hybrid,15%,Myrcene,66%,40%,46%,36%
687,Gumbo,Indica,23%,Limonene,57%,47%,33%,0%
688,Blue Power,Indica,15%,Limonene,80%,51%,60%,42%
689,Nebula,Hybrid,23%,Terpinolene,35%,62%,58%,59%
690,The Vision,Hybrid,23%,Limonene,55%,40%,45%,40%
691,Blueberry Space Cake,Indica,15%,Caryophyllene,11%,5%,5%,0%
692,OG Skunk,Hybrid,19%,Myrcene,55%,61%,47%,50%
693,OZ Kush,Hybrid,27%,Terpinolene,75%,0%,50%,0%
694,Special Sauce,Hybrid,16%,Myrcene,80%,50%,26%,0%
695,Chocolate OG,Indica,12%,Myrcene,72%,72%,57%,0%
696,White Fire Alien OG,Hybrid,20%,Myrcene,67%,54%,48%,45%
697,Tropic Truffle,Hybrid,20%,Terpinolene,80%,60%,60%,60%
698,Sour Lemon,Hybrid,18%,Myrcene,50%,61%,0%,45%
699,Strawberry Switchblade,Hybrid,17%,Myrcene,44%,50%,41%,47%
700,8 Ball Kush,Indica,22%,Myrcene,78%,57%,38%,47%
701,Golden Ticket,Hybrid,17%,Terpinolene,44%,53%,54%,56%
702,Pineapple Trainwreck,Hybrid,17%,Myrcene,42%,53%,48%,45%
703,Citrus Sunshine Haze,Hybrid,24%,Myrcene,0%,62%,62%,62%
704,Dragon Fruit,Hybrid,23%,Pinene,40%,46%,0%,40%
705,Abusive OG,Indica,16%,Myrcene,75%,41%,41%,28%
706,Y Griega,Sativa,20%,Myrcene,42%,73%,50%,59%
707,Red Velvet Pie,Hybrid,21%,Terpinolene,40%,60%,60%,40%
708,Josh D OG,Indica,22%,Myrcene,68%,0%,31%,0%
709,Cherry Limeade,Hybrid,20%,Caryophyllene,45%,48%,39%,39%
710,Nicole Kush,Indica,24%,Myrcene,88%,55%,66%,44%
711,Brandywine,Indica,17%,Limonene,92%,48%,40%,40%
712,Northern Berry,Indica,20%,Myrcene,75%,46%,40%,0%
713,Bay 11,Sativa,17%,Limonene,41%,62%,0%,48%
714,Orange Blossom,Hybrid,21%,Myrcene,68%,64%,44%,44%
715,Plushberry,Indica,16%,Myrcene,72%,51%,47%,34%
716,Blue Dragon,Hybrid,17%,Myrcene,52%,64%,57%,55%
717,Future #1,Hybrid,30%,Limonene,75%,50%,75%,50%
718,DelaHaze,Sativa,20%,Limonene,0%,69%,47%,61%
719,Pure Power Plant,Hybrid,20%,Myrcene,0%,61%,53%,49%
720,Pot of Gold,Indica,18%,Caryophyllene,42%,49%,45%,40%
721,Honey Bananas,Hybrid,21%,Myrcene,55%,61%,45%,45%
722,Cookie Breath,Hybrid,20%,Caryophyllene,66%,72%,50%,61%
723,Ghost Rider OG,Indica,17%,Humulene,57%,42%,38%,42%
724,Euphoria,Sativa,13%,Myrcene,0%,63%,76%,58%
725,Fortune Cookies,Hybrid,17%,Myrcene,71%,68%,52%,46%
726,Lemon OG Haze,Hybrid,19%,Caryophyllene,68%,39%,60%,52%
727,Purple Raine,Hybrid,17%,Myrcene,52%,52%,32%,40%
728,Irene OG,Hybrid,24%,Myrcene,83%,64%,57%,55%
729,Peach Crescendo F-1,Hybrid,23%,Terpinolene,50%,41%,0%,33%
730,Lemon Thai,Sativa,21%,Myrcene,37%,57%,0%,45%
731,Lemon Sorbet #3,Hybrid,19%,Terpinolene,36%,45%,0%,36%
732,Sour Glue,Hybrid,21%,Caryophyllene,0%,0%,0%,0%
733,Dog Shit,Hybrid,19%,Myrcene,52%,50%,52%,47%
734,Blue Dream CBD,Hybrid,11%,Pinene,42%,42%,35%,57%
735,White Berry,Indica,20%,Caryophyllene,49%,55%,56%,41%
736,Master OG,Indica,22%,Caryophyllene,66%,0%,33%,33%
737,Dosi Face,Hybrid,20%,Limonene,61%,53%,0%,53%
738,Black Cherry Cheesecake,Hybrid,16%,Limonene,69%,58%,47%,41%
739,501st OG,Hybrid,21%,Myrcene,81%,47%,44%,25%
740,White Dawg,Hybrid,20%,Caryophyllene,44%,52%,44%,40%
741,Mango Sherbert,Hybrid,20%,Caryophyllene,63%,54%,54%,63%
742,Sour Kosher,Hybrid,21%,Limonene,28%,42%,42%,42%
743,Triple Scoop,Hybrid,21%,Caryophyllene,75%,50%,75%,25%
744,Alien Technology,Indica,16%,Myrcene,55%,77%,66%,55%
745,White Nightmare,Sativa,23%,Myrcene,41%,68%,68%,57%
746,Purple Tangie,Sativa,12%,Myrcene,0%,53%,46%,56%
747,Monkey Mints,Hybrid,19%,Caryophyllene,57%,57%,0%,28%
748,Mother of Berries,Indica,20%,Myrcene,81%,57%,41%,0%
749,Banana Daddy,Hybrid,20%,Terpinolene,66%,66%,33%,0%
750,Gorilla Bomb,Hybrid,20%,Myrcene,33%,0%,0%,33%
751,LA OG,Indica,20%,Myrcene,57%,40%,54%,38%
752,Purple Ice,Hybrid,20%,Caryophyllene,48%,62%,71%,48%
753,Orange Diesel,Hybrid,10%,Myrcene,54%,60%,60%,57%
754,Sweet and Sour Widow,Indica,8%,Myrcene,63%,31%,18%,28%
755,Pine Tar,Indica,24%,Myrcene,70%,56%,59%,43%
756,Northern Lights #5 x Haze,Sativa,17%,Myrcene,43%,70%,0%,58%
757,Cataract Kush,Hybrid,20%,Caryophyllene,54%,55%,51%,33%
758,Jupiter OG,Indica,18%,Myrcene,61%,40%,44%,0%
759,Grenadine,Hybrid,18%,Myrcene,0%,0%,0%,0%
760,Pink Bubba,Indica,20%,Limonene,77%,37%,37%,22%
761,Sour Blueberry,Hybrid,18%,Myrcene,61%,47%,47%,42%
762,Apollo 13,Hybrid,19%,Myrcene,0%,45%,49%,53%
763,Chiquita Banana,Hybrid,26%,Limonene,64%,75%,57%,46%
764,1024,Sativa,13%,Terpinolene,35%,48%,0%,48%
765,Mandarin Zkittlez,Hybrid,18%,Terpinolene,57%,42%,42%,0%
766,Sour Dream,Hybrid,19%,Myrcene,0%,68%,67%,61%
767,Viper,Sativa,21%,Myrcene,0%,61%,0%,48%
768,Afgooey,Indica,16%,Myrcene,44%,43%,50%,25%
769,Holy Roller,Hybrid,20%,Terpinolene,33%,55%,0%,44%
