,Name,Type,THC_Level,Terpene,Relaxed,Happy,Euphoric,Uplifted
1749,Lavender Haze,Sativa,19%,Myrcene,0%,63%,63%,59%
1750,Grilled Cheese,Hybrid,20%,Myrcene,50%,0%,50%,25%
1751,Lemonder,Hybrid,16%,Myrcene,73%,68%,68%,52%
1752,Cookie Dos,Hybrid,19%,Caryophyllene,33%,66%,0%,33%
1753,White Elephant,Hybrid,17%,Caryophyllene,92%,73%,46%,42%
1754,Black Cheese,Indica,18%,Limonene,50%,0%,50%,0%
1755,Johnny’s Tonic,Sativa,10%,Myrcene,81%,81%,54%,63%
1756,Spice,Hybrid,12%,Terpinolene,0%,0%,0%,0%
1757,Jet Fuel Gelato,Hybrid,23%,Limonene,0%,12%,12%,12%
1758,Deep Cheese,Hybrid,15%,Limonene,87%,50%,0%,50%
1759,Tidal Wave,Hybrid,19%,Myrcene,0%,0%,50%,75%
1760,Silver L.A.,Hybrid,14%,Myrcene,100%,100%,100%,100%
1761,White Grapefruit Cookies,Hybrid,15%,Myrcene,0%,0%,0%,0%
1762,CannaSutra,Indica,15%,Terpinolene,62%,37%,50%,37%
1763,Purple Bush,Indica,24%,Caryophyllene,100%,0%,44%,22%
1764,Alien Apparition,Hybrid,21%,Terpinolene,33%,0%,66%,33%
1765,Purple Maui,Hybrid,17%,Myrcene,50%,83%,0%,58%
1766,Cherry Meringue,Hybrid,22%,Myrcene,0%,0%,0%,0%
1767,R.K.S.,Hybrid,20%,Myrcene,0%,0%,0%,0%
1768,Mother Tongue,Sativa,19%,Myrcene,0%,66%,66%,42%
1769,Dubble Tropicana,Indica,15%,Limonene,0%,0%,0%,0%
1770,Watermelon Gelato,Hybrid,20%,Caryophyllene,0%,0%,0%,0%
1771,Chupacabra,Hybrid,19%,Pinene,66%,83%,50%,55%
1772,Good Medicine,Hybrid,10%,Myrcene,62%,44%,0%,34%
1773,China Berry,Hybrid,16%,Myrcene,0%,0%,0%,0%
1774,City of God,Hybrid,23%,Myrcene,0%,100%,100%,0%
1775,Golden Gage,Hybrid,21%,Terpinolene,60%,80%,0%,60%
1776,Dutch 47,Hybrid,19%,Myrcene,0%,0%,0%,0%
1777,Gemstone,Hybrid,15%,Myrcene,66%,73%,53%,0%
1778,A-10,Indica,11%,Myrcene,0%,35%,43%,24%
1779,Huckleberry Cough,Hybrid,17%,Myrcene,66%,66%,66%,66%
1780,Daywalker,Hybrid,21%,Limonene,50%,0%,50%,0%
1781,Bubba's Breath,Indica,18%,Limonene,0%,0%,0%,0%
1782,Afghan Big Bud,Indica,26%,Myrcene,0%,57%,63%,42%
1783,Tangelo Kush,Hybrid,17%,Terpinolene,100%,0%,0%,33%
1784,West Coast Dawg,Indica,22%,Myrcene,66%,0%,66%,66%
1785,Blackberry Lime Haze,Sativa,22%,Pinene,0%,69%,52%,60%
1786,Silver Nina,Hybrid,17%,Myrcene,0%,100%,100%,0%
1787,Blue OG Sherbert,Hybrid,14%,Caryophyllene,0%,0%,50%,50%
1788,Bango,Hybrid,22%,Limonene,100%,0%,0%,100%
1789,Banana Peel,Hybrid,19%,Caryophyllene,72%,45%,54%,45%
1790,IFC OG,Indica,21%,Caryophyllene,0%,0%,0%,0%
1791,Exodus Kush,Hybrid,16%,Terpinolene,0%,0%,0%,0%
1792,Sky Lotus,Hybrid,23%,Limonene,50%,40%,50%,0%
1793,Fluffhead,Hybrid,20%,Limonene,0%,0%,0%,0%
1794,Lion’s Milk,Hybrid,21%,Caryophyllene,100%,0%,100%,50%
1795,Bubba Hash,Indica,14%,Pinene,0%,0%,0%,0%
1796,Titan's Haze,Sativa,22%,Myrcene,0%,100%,0%,50%
1797,Quad Dawg,Hybrid,20%,Myrcene,50%,75%,75%,75%
1798,Kiss,Hybrid,16%,Myrcene,0%,0%,33%,0%
1799,Valley Vixen,Hybrid,23%,Myrcene,0%,0%,0%,0%
1800,Strawberry Durban Diesel,Sativa,20%,Myrcene,40%,40%,0%,80%
1801,Original Mandarin Cookies,Hybrid,22%,Caryophyllene,0%,0%,0%,0%
1802,Lemon Royale,Hybrid,26%,Limonene,0%,0%,0%,0%
1803,Copper Kush,Indica,25%,Myrcene,100%,42%,71%,42%
1804,Opal OG Kush,Indica,20%,Myrcene,69%,38%,76%,0%
1805,Or,Hybrid,19%,Limonene,65%,55%,40%,0%
1806,Pink Pez,Hybrid,16%,Caryophyllene,40%,70%,60%,40%
1807,Blueberry Silvertip,Hybrid,18%,Myrcene,63%,59%,38%,47%
1808,Dream Girl,Hybrid,13%,Myrcene,0%,66%,0%,33%
1809,Mud Bite,Indica,16%,Myrcene,100%,100%,0%,0%
1810,Chaos Kush,Hybrid,16%,Limonene,0%,0%,0%,0%
1811,Gaswerx,Hybrid,20%,Ocimene,100%,100%,0%,0%
1812,Afpak,Hybrid,18%,Limonene,100%,50%,0%,0%
1813,LA Woman,Hybrid,21%,Myrcene,52%,44%,47%,36%
1814,Lucifer OG,Indica,22%,Limonene,0%,0%,100%,0%
1815,Garlic Breath,Hybrid,24%,Limonene,0%,0%,0%,0%
1816,Champagne Diesel,Hybrid,20%,Limonene,40%,60%,60%,80%
1817,Garlic Punch,Hybrid,18%,Humulene,0%,0%,0%,0%
1818,Ape Diesel,Indica,17%,Caryophyllene,66%,50%,0%,0%
1819,LAPD,Hybrid,24%,Terpinolene,40%,40%,40%,80%
1820,Nana’s Fix,Hybrid,16%,Terpinolene,83%,66%,0%,50%
1821,Purple Nepal,Indica,18%,Myrcene,51%,42%,42%,0%
1822,Mazari,Indica,19%,Myrcene,100%,50%,0%,0%
1823,Master Skunk,Hybrid,23%,Caryophyllene,89%,42%,57%,36%
1824,Suicide Girl,Hybrid,21%,Myrcene,50%,75%,50%,50%
1825,Kaboom,Sativa,15%,Terpinolene,0%,59%,53%,68%
1826,West OG,Indica,21%,Myrcene,85%,57%,57%,0%
1827,Blue Wolf,Sativa,11%,Myrcene,0%,0%,20%,20%
1828,Sweet Dream,Hybrid,19%,Caryophyllene,45%,45%,45%,27%
1829,Tahoe Purps,Indica,22%,Ocimene,100%,50%,0%,0%
1830,Mercury OG,Indica,19%,Limonene,52%,50%,58%,35%
1831,Nectarine Lips,Sativa,18%,Limonene,37%,62%,50%,0%
1832,Hempstar,Sativa,18%,Myrcene,0%,54%,48%,58%
1833,Big Skunk Korean,Hybrid,16%,Myrcene,0%,0%,0%,100%
1834,Bubba Doja,Indica,20%,Limonene,66%,33%,50%,0%
1835,Qush,Indica,14%,Caryophyllene,70%,40%,0%,50%
1836,Purple Lamborghini,Hybrid,21%,Myrcene,50%,0%,50%,0%
1837,River Song,Hybrid,22%,Limonene,100%,100%,0%,100%
1838,Rafael,Sativa,20%,Myrcene,0%,0%,0%,0%
1839,Alien Asshat,Hybrid,21%,Myrcene,51%,66%,62%,51%
1840,Berry Larry,Hybrid,14%,Myrcene,71%,28%,57%,57%
1841,ArcticBlue,Hybrid,20%,Myrcene,52%,41%,35%,35%
1842,Valley Ghash,Hybrid,17%,Myrcene,87%,0%,75%,50%
1843,Boggle Gum,Hybrid,15%,Myrcene,43%,47%,43%,43%
1844,Fuzzy Navel,Hybrid,20%,Terpinolene,100%,100%,0%,0%
1845,TJ's CBD,Hybrid,13%,Terpinolene,64%,64%,0%,50%
1846,Shit,Hybrid,10%,Terpinolene,0%,0%,0%,0%
1847,Seattle Blue,Indica,12%,Terpinolene,28%,35%,71%,57%
1848,K1,Hybrid,17%,Caryophyllene,33%,77%,66%,44%
1849,Medellin,Hybrid,23%,Caryophyllene,0%,0%,0%,0%
1850,Cabbage Patch,Hybrid,20%,Myrcene,75%,50%,58%,41%
1851,Motavation,Indica,15%,Caryophyllene,55%,33%,33%,0%
1852,Sweet Purple,Hybrid,10%,Pinene,100%,100%,0%,0%
1853,Mojito,Hybrid,22%,Terpinolene,50%,50%,50%,50%
1854,Midnight Mass,Hybrid,30%,Terpinolene,100%,100%,0%,100%
